transaction_id,date,store_id,region,product_id,category,price,quantity,discount_pct,amount,gender,age_group,payment_method,is_promo_period
47,2025-01-01,11,Санкт-Петербург,10,Лекарства (рецепт),414.76,1,0.0,414.76,Женский,46-60,Карта,0
48,2025-01-01,13,Санкт-Петербург,23,Лекарства (без рецепта),295.31,4,0.0,1181.24,Мужской,46-60,Карта,0
49,2025-01-01,19,Новосибирск,55,БАД и витамины,576.48,5,0.0,2882.4,Женский,46-60,Карта,0
50,2025-01-01,5,Москва,11,Лекарства (рецепт),348.5,3,0.0,1045.5,Женский,18-30,Карта,0
51,2025-01-01,19,Новосибирск,21,Лекарства (без рецепта),318.02,3,0.0,954.06,Женский,60+,Наличные,0
52,2025-01-01,18,Новосибирск,2,Лекарства (рецепт),518.76,7,0.0,3631.32,Мужской,60+,Наличные,0
53,2025-01-01,5,Москва,8,Лекарства (рецепт),329.77,6,0.0,1978.62,Женский,46-60,Наличные,0
54,2025-01-01,2,Москва,14,Лекарства (рецепт),458.37,5,0.0,2291.85,Мужской,31-45,Онлайн,0
55,2025-01-01,9,Санкт-Петербург,33,Лекарства (без рецепта),335.53,2,0.0,671.06,Мужской,60+,Наличные,0
56,2025-01-01,17,Новосибирск,20,Лекарства (без рецепта),325.54,4,0.0,1302.16,Мужской,46-60,Карта,0
57,2025-01-01,21,Екатеринбург,45,Косметика и гигиена,408.22,2,0.0,816.44,Женский,31-45,Онлайн,0
58,2025-01-01,13,Санкт-Петербург,6,Лекарства (рецепт),501.67,2,0.0,1003.34,Женский,60+,Карта,0
59,2025-01-01,8,Москва,18,Лекарства (без рецепта),359.03,2,0.0,718.06,Женский,60+,Онлайн,0
60,2025-01-01,17,Новосибирск,50,Косметика и гигиена,316.91,2,0.0,633.82,Мужской,31-45,Онлайн,0
61,2025-01-01,9,Санкт-Петербург,27,Лекарства (без рецепта),257.62,4,0.0,1030.48,Мужской,31-45,Наличные,0
62,2025-01-01,9,Санкт-Петербург,47,Косметика и гигиена,202.36,5,0.0,1011.8,Женский,46-60,Онлайн,0
63,2025-01-01,7,Москва,37,Косметика и гигиена,362.46,5,0.0,1812.3,Женский,60+,Наличные,0
64,2025-01-01,13,Санкт-Петербург,63,БАД и витамины,710.23,3,0.0,2130.69,Женский,46-60,Карта,0
65,2025-01-01,10,Санкт-Петербург,56,БАД и витамины,442.76,2,0.0,885.52,Мужской,60+,Карта,0
66,2025-01-01,2,Москва,4,Лекарства (рецепт),386.79,2,0.0,773.58,Мужской,60+,Онлайн,0
67,2025-01-01,10,Санкт-Петербург,41,Косметика и гигиена,318.23,1,0.0,318.23,Женский,31-45,Карта,0
68,2025-01-01,20,Екатеринбург,5,Лекарства (рецепт),330.43,1,0.0,330.43,Женский,31-45,Наличные,0
69,2025-01-01,18,Новосибирск,40,Косметика и гигиена,389.97,1,0.0,389.97,Женский,31-45,Наличные,0
70,2025-01-01,14,Казань,56,БАД и витамины,442.76,3,0.0,1328.28,Женский,31-45,Онлайн,0
71,2025-01-01,2,Москва,10,Лекарства (рецепт),414.76,3,0.0,1244.28,Женский,31-45,Онлайн,0
72,2025-01-01,22,Екатеринбург,57,БАД и витамины,529.38,1,0.0,529.38,Женский,46-60,Наличные,0
73,2025-01-01,22,Екатеринбург,14,Лекарства (рецепт),458.37,1,0.0,458.37,Мужской,18-30,Наличные,0
74,2025-01-01,19,Новосибирск,37,Косметика и гигиена,362.46,2,0.0,724.92,Женский,46-60,Карта,0
75,2025-01-01,6,Москва,10,Лекарства (рецепт),414.76,3,0.0,1244.28,Мужской,60+,Онлайн,0
76,2025-01-01,6,Москва,66,БАД и витамины,602.57,2,0.0,1205.14,Мужской,31-45,Карта,0
77,2025-01-01,15,Казань,53,БАД и витамины,396.5,1,0.0,396.5,Женский,18-30,Карта,0
78,2025-01-01,15,Казань,42,Косметика и гигиена,245.36,3,0.0,736.08,Мужской,46-60,Наличные,0
79,2025-01-01,9,Санкт-Петербург,34,Лекарства (без рецепта),247.64,1,0.0,247.64,Женский,31-45,Наличные,0
80,2025-01-01,7,Москва,11,Лекарства (рецепт),348.5,5,0.0,1742.5,Мужской,18-30,Онлайн,0
81,2025-01-01,13,Санкт-Петербург,18,Лекарства (без рецепта),359.03,1,0.0,359.03,Мужской,60+,Наличные,0
82,2025-01-01,19,Новосибирск,46,Косметика и гигиена,312.96,8,0.0,2503.68,Женский,46-60,Наличные,0
83,2025-01-01,9,Санкт-Петербург,14,Лекарства (рецепт),458.37,2,0.0,916.74,Женский,31-45,Карта,0
84,2025-01-01,8,Москва,46,Косметика и гигиена,312.96,3,0.0,938.88,Мужской,18-30,Онлайн,0
85,2025-01-01,9,Санкт-Петербург,56,БАД и витамины,442.76,4,0.0,1771.04,Мужской,31-45,Наличные,0
86,2025-01-01,6,Москва,43,Косметика и гигиена,308.93,1,0.0,308.93,Мужской,46-60,Онлайн,0
87,2025-01-01,1,Москва,45,Косметика и гигиена,408.22,5,0.0,2041.1,Мужской,31-45,Карта,0
88,2025-01-01,5,Москва,17,Лекарства (без рецепта),223.04,3,0.0,669.12,Мужской,31-45,Наличные,0
89,2025-01-01,19,Новосибирск,13,Лекарства (рецепт),383.03,1,0.0,383.03,Женский,60+,Карта,0
90,2025-01-01,13,Санкт-Петербург,23,Лекарства (без рецепта),295.31,4,0.0,1181.24,Женский,18-30,Карта,0
91,2025-01-01,15,Казань,11,Лекарства (рецепт),348.5,1,0.0,348.5,Мужской,31-45,Карта,0
92,2025-01-01,12,Санкт-Петербург,25,Лекарства (без рецепта),284.73,5,0.0,1423.65,Мужской,60+,Карта,0
93,2025-01-01,13,Санкт-Петербург,51,БАД и витамины,473.69,1,0.0,473.69,Мужской,46-60,Карта,0
94,2025-01-01,5,Москва,2,Лекарства (рецепт),518.76,2,0.0,1037.52,Мужской,46-60,Карта,0
95,2025-01-01,10,Санкт-Петербург,36,Косметика и гигиена,269.55,3,0.0,808.65,Мужской,18-30,Карта,0
96,2025-01-01,1,Москва,65,БАД и витамины,469.32,2,0.0,938.64,Женский,31-45,Онлайн,0
97,2025-01-01,8,Москва,9,Лекарства (рецепт),319.32,2,0.0,638.64,Мужской,31-45,Наличные,0
98,2025-01-01,14,Казань,49,Косметика и гигиена,384.98,4,0.0,1539.92,Мужской,46-60,Наличные,0
99,2025-01-01,1,Москва,3,Лекарства (рецепт),283.27,3,0.0,849.81,Мужской,31-45,Карта,0
100,2025-01-01,12,Санкт-Петербург,6,Лекарства (рецепт),501.67,2,0.0,1003.34,Женский,60+,Карта,0
101,2025-01-01,8,Москва,34,Лекарства (без рецепта),247.64,6,0.0,1485.84,Женский,60+,Карта,0
102,2025-01-01,5,Москва,31,Лекарства (без рецепта),256.56,5,0.0,1282.8,Мужской,46-60,Онлайн,0
103,2025-01-01,16,Казань,42,Косметика и гигиена,245.36,2,0.0,490.72,Женский,31-45,Карта,0
104,2025-01-01,22,Екатеринбург,33,Лекарства (без рецепта),335.53,6,0.0,2013.18,Женский,46-60,Карта,0
105,2025-01-01,21,Екатеринбург,59,БАД и витамины,728.23,5,0.0,3641.15,Женский,31-45,Карта,0
106,2025-01-01,2,Москва,30,Лекарства (без рецепта),347.78,7,0.0,2434.46,Женский,46-60,Карта,0
107,2025-01-01,18,Новосибирск,48,Косметика и гигиена,234.26,4,0.0,937.04,Женский,18-30,Карта,0
108,2025-01-01,22,Екатеринбург,28,Лекарства (без рецепта),235.28,3,0.0,705.84,Мужской,31-45,Карта,0
109,2025-01-01,5,Москва,18,Лекарства (без рецепта),359.03,7,0.0,2513.21,Мужской,18-30,Онлайн,0
110,2025-01-01,2,Москва,22,Лекарства (без рецепта),296.25,9,0.0,2666.25,Женский,31-45,Карта,0
111,2025-01-01,7,Москва,16,Лекарства (без рецепта),251.55,8,0.0,2012.4,Мужской,60+,Наличные,0
112,2025-01-01,15,Казань,50,Косметика и гигиена,316.91,4,0.0,1267.64,Женский,18-30,Карта,0
113,2025-01-01,11,Санкт-Петербург,48,Косметика и гигиена,234.26,4,0.0,937.04,Мужской,18-30,Карта,0
114,2025-01-01,12,Санкт-Петербург,14,Лекарства (рецепт),458.37,1,0.0,458.37,Мужской,60+,Наличные,0
115,2025-01-01,7,Москва,42,Косметика и гигиена,245.36,3,0.0,736.08,Женский,60+,Карта,0
116,2025-01-01,11,Санкт-Петербург,38,Косметика и гигиена,312.62,6,0.0,1875.72,Мужской,46-60,Карта,0
117,2025-01-01,20,Екатеринбург,17,Лекарства (без рецепта),223.04,10,0.0,2230.4,Женский,46-60,Онлайн,0
118,2025-01-01,12,Санкт-Петербург,20,Лекарства (без рецепта),325.54,1,0.0,325.54,Женский,46-60,Наличные,0
119,2025-01-01,1,Москва,10,Лекарства (рецепт),414.76,3,0.0,1244.28,Мужской,18-30,Онлайн,0
120,2025-01-02,22,Екатеринбург,25,Лекарства (без рецепта),284.73,7,0.0,1993.11,Женский,31-45,Наличные,0
121,2025-01-02,16,Казань,33,Лекарства (без рецепта),335.53,5,0.0,1677.65,Женский,18-30,Онлайн,0
122,2025-01-02,15,Казань,41,Косметика и гигиена,318.23,4,0.0,1272.92,Женский,60+,Наличные,0
123,2025-01-02,19,Новосибирск,27,Лекарства (без рецепта),257.62,3,0.0,772.86,Женский,46-60,Карта,0
124,2025-01-02,9,Санкт-Петербург,57,БАД и витамины,529.38,4,0.0,2117.52,Женский,31-45,Карта,0
125,2025-01-02,14,Казань,42,Косметика и гигиена,245.36,1,0.0,245.36,Женский,46-60,Наличные,0
126,2025-01-02,16,Казань,50,Косметика и гигиена,316.91,4,0.0,1267.64,Мужской,18-30,Карта,0
127,2025-01-02,3,Москва,63,БАД и витамины,710.23,2,0.0,1420.46,Женский,46-60,Карта,0
128,2025-01-02,11,Санкт-Петербург,36,Косметика и гигиена,269.55,3,0.0,808.65,Женский,18-30,Карта,0
129,2025-01-02,22,Екатеринбург,57,БАД и витамины,529.38,2,0.0,1058.76,Мужской,18-30,Наличные,0
130,2025-01-02,6,Москва,11,Лекарства (рецепт),348.5,5,0.0,1742.5,Мужской,18-30,Онлайн,0
131,2025-01-02,21,Екатеринбург,11,Лекарства (рецепт),348.5,4,0.0,1394.0,Мужской,46-60,Онлайн,0
132,2025-01-02,16,Казань,44,Косметика и гигиена,392.07,1,0.0,392.07,Женский,46-60,Наличные,0
133,2025-01-02,13,Санкт-Петербург,31,Лекарства (без рецепта),256.56,7,0.0,1795.92,Мужской,31-45,Карта,0
134,2025-01-02,2,Москва,37,Косметика и гигиена,362.46,3,0.0,1087.38,Мужской,46-60,Наличные,0
135,2025-01-02,10,Санкт-Петербург,9,Лекарства (рецепт),319.32,5,0.0,1596.6,Женский,18-30,Онлайн,0
136,2025-01-02,14,Казань,2,Лекарства (рецепт),518.76,2,0.0,1037.52,Мужской,31-45,Наличные,0
137,2025-01-02,9,Санкт-Петербург,42,Косметика и гигиена,245.36,5,0.0,1226.8,Женский,18-30,Онлайн,0
138,2025-01-02,7,Москва,27,Лекарства (без рецепта),257.62,5,0.0,1288.1,Мужской,31-45,Онлайн,0
139,2025-01-02,19,Новосибирск,39,Косметика и гигиена,404.74,3,0.0,1214.22,Мужской,18-30,Онлайн,0
140,2025-01-02,19,Новосибирск,50,Косметика и гигиена,316.91,5,0.0,1584.55,Женский,60+,Онлайн,0
141,2025-01-02,18,Новосибирск,10,Лекарства (рецепт),414.76,1,0.0,414.76,Женский,60+,Карта,0
142,2025-01-02,13,Санкт-Петербург,55,БАД и витамины,576.48,2,0.0,1152.96,Мужской,18-30,Наличные,0
143,2025-01-02,4,Москва,31,Лекарства (без рецепта),256.56,3,0.0,769.68,Женский,18-30,Онлайн,0
144,2025-01-02,8,Москва,5,Лекарства (рецепт),330.43,1,0.0,330.43,Мужской,60+,Онлайн,0
145,2025-01-02,17,Новосибирск,5,Лекарства (рецепт),330.43,1,0.0,330.43,Женский,31-45,Карта,0
146,2025-01-02,9,Санкт-Петербург,40,Косметика и гигиена,389.97,3,0.0,1169.91,Мужской,18-30,Онлайн,0
147,2025-01-02,14,Казань,2,Лекарства (рецепт),518.76,2,0.0,1037.52,Женский,18-30,Онлайн,0
148,2025-01-02,22,Екатеринбург,25,Лекарства (без рецепта),284.73,3,0.0,854.19,Женский,31-45,Карта,0
149,2025-01-02,5,Москва,3,Лекарства (рецепт),283.27,6,0.0,1699.62,Женский,60+,Карта,0
150,2025-01-02,11,Санкт-Петербург,14,Лекарства (рецепт),458.37,3,0.0,1375.11,Мужской,60+,Карта,0
151,2025-01-02,16,Казань,48,Косметика и гигиена,234.26,4,0.0,937.04,Женский,18-30,Карта,0
152,2025-01-02,16,Казань,38,Косметика и гигиена,312.62,4,0.0,1250.48,Мужской,18-30,Карта,0
153,2025-01-02,22,Екатеринбург,18,Лекарства (без рецепта),359.03,8,0.0,2872.24,Женский,46-60,Наличные,0
154,2025-01-02,7,Москва,61,БАД и витамины,548.6,2,0.0,1097.2,Женский,60+,Карта,0
155,2025-01-02,18,Новосибирск,32,Лекарства (без рецепта),321.04,4,0.0,1284.16,Мужской,31-45,Наличные,0
156,2025-01-02,13,Санкт-Петербург,13,Лекарства (рецепт),383.03,4,0.0,1532.12,Женский,31-45,Наличные,0
157,2025-01-02,8,Москва,15,Лекарства (рецепт),465.24,1,0.0,465.24,Женский,46-60,Онлайн,0
158,2025-01-02,3,Москва,31,Лекарства (без рецепта),256.56,6,0.0,1539.36,Мужской,31-45,Онлайн,0
159,2025-01-02,6,Москва,45,Косметика и гигиена,408.22,5,0.0,2041.1,Мужской,46-60,Карта,0
160,2025-01-02,1,Москва,43,Косметика и гигиена,308.93,4,0.0,1235.72,Мужской,18-30,Карта,0
161,2025-01-02,16,Казань,8,Лекарства (рецепт),329.77,5,0.0,1648.85,Женский,18-30,Карта,0
162,2025-01-02,1,Москва,27,Лекарства (без рецепта),257.62,4,0.0,1030.48,Женский,31-45,Карта,0
163,2025-01-02,3,Москва,64,БАД и витамины,436.83,2,0.0,873.66,Мужской,60+,Карта,0
164,2025-01-02,12,Санкт-Петербург,46,Косметика и гигиена,312.96,3,0.0,938.88,Женский,31-45,Наличные,0
165,2025-01-02,20,Екатеринбург,51,БАД и витамины,473.69,4,0.0,1894.76,Женский,31-45,Онлайн,0
166,2025-01-02,2,Москва,49,Косметика и гигиена,384.98,3,0.0,1154.94,Мужской,60+,Наличные,0
167,2025-01-02,2,Москва,36,Косметика и гигиена,269.55,3,0.0,808.65,Женский,31-45,Карта,0
168,2025-01-02,12,Санкт-Петербург,14,Лекарства (рецепт),458.37,4,0.0,1833.48,Мужской,60+,Карта,0
169,2025-01-02,1,Москва,37,Косметика и гигиена,362.46,3,0.0,1087.38,Женский,46-60,Онлайн,0
170,2025-01-02,3,Москва,19,Лекарства (без рецепта),221.19,5,0.0,1105.95,Мужской,46-60,Онлайн,0
171,2025-01-02,1,Москва,12,Лекарства (рецепт),403.77,3,0.0,1211.31,Женский,31-45,Карта,0
172,2025-01-02,21,Екатеринбург,38,Косметика и гигиена,312.62,2,0.0,625.24,Мужской,31-45,Карта,0
173,2025-01-02,19,Новосибирск,46,Косметика и гигиена,312.96,4,0.0,1251.84,Женский,18-30,Онлайн,0
174,2025-01-02,9,Санкт-Петербург,55,БАД и витамины,576.48,2,0.0,1152.96,Женский,18-30,Онлайн,0
175,2025-01-02,16,Казань,22,Лекарства (без рецепта),296.25,5,0.0,1481.25,Мужской,31-45,Карта,0
176,2025-01-02,16,Казань,44,Косметика и гигиена,392.07,4,0.0,1568.28,Женский,31-45,Карта,0
177,2025-01-02,16,Казань,20,Лекарства (без рецепта),325.54,4,0.0,1302.16,Женский,60+,Наличные,0
178,2025-01-02,14,Казань,33,Лекарства (без рецепта),335.53,4,0.0,1342.12,Мужской,18-30,Онлайн,0
179,2025-01-02,5,Москва,26,Лекарства (без рецепта),324.19,8,0.0,2593.52,Мужской,46-60,Онлайн,0
180,2025-01-02,21,Екатеринбург,32,Лекарства (без рецепта),321.04,7,0.0,2247.28,Женский,31-45,Карта,0
181,2025-01-02,19,Новосибирск,6,Лекарства (рецепт),501.67,6,0.0,3010.02,Женский,46-60,Онлайн,0
182,2025-01-02,21,Екатеринбург,18,Лекарства (без рецепта),359.03,7,0.0,2513.21,Женский,60+,Карта,0
183,2025-01-02,4,Москва,39,Косметика и гигиена,404.74,3,0.0,1214.22,Мужской,18-30,Наличные,0
184,2025-01-02,12,Санкт-Петербург,17,Лекарства (без рецепта),223.04,4,0.0,892.16,Мужской,18-30,Онлайн,0
185,2025-01-02,15,Казань,57,БАД и витамины,529.38,2,0.0,1058.76,Мужской,18-30,Карта,0
186,2025-01-02,21,Екатеринбург,5,Лекарства (рецепт),330.43,4,0.0,1321.72,Мужской,46-60,Карта,0
187,2025-01-02,22,Екатеринбург,14,Лекарства (рецепт),458.37,2,0.0,916.74,Мужской,60+,Онлайн,0
188,2025-01-02,21,Екатеринбург,39,Косметика и гигиена,404.74,1,0.0,404.74,Мужской,31-45,Наличные,0
189,2025-01-02,18,Новосибирск,23,Лекарства (без рецепта),295.31,3,0.0,885.93,Женский,60+,Карта,0
190,2025-01-02,8,Москва,14,Лекарства (рецепт),458.37,3,0.0,1375.11,Мужской,46-60,Карта,0
191,2025-01-02,7,Москва,29,Лекарства (без рецепта),384.65,3,0.0,1153.95,Мужской,31-45,Онлайн,0
192,2025-01-02,11,Санкт-Петербург,17,Лекарства (без рецепта),223.04,6,0.0,1338.24,Женский,46-60,Карта,0
193,2025-01-02,13,Санкт-Петербург,8,Лекарства (рецепт),329.77,3,0.0,989.31,Мужской,46-60,Наличные,0
194,2025-01-02,2,Москва,60,БАД и витамины,386.95,2,0.0,773.9,Женский,18-30,Карта,0
195,2025-01-02,1,Москва,30,Лекарства (без рецепта),347.78,8,0.0,2782.24,Женский,46-60,Онлайн,0
196,2025-01-02,1,Москва,41,Косметика и гигиена,318.23,4,0.0,1272.92,Мужской,31-45,Наличные,0
197,2025-01-02,12,Санкт-Петербург,5,Лекарства (рецепт),330.43,1,0.0,330.43,Женский,46-60,Карта,0
198,2025-01-02,15,Казань,34,Лекарства (без рецепта),247.64,7,0.0,1733.48,Мужской,18-30,Онлайн,0
199,2025-01-02,7,Москва,26,Лекарства (без рецепта),324.19,6,0.0,1945.14,Мужской,31-45,Онлайн,0
200,2025-01-02,8,Москва,16,Лекарства (без рецепта),251.55,9,0.0,2263.95,Мужской,18-30,Онлайн,0
201,2025-01-02,21,Екатеринбург,18,Лекарства (без рецепта),359.03,4,0.0,1436.12,Женский,46-60,Наличные,0
202,2025-01-02,21,Екатеринбург,19,Лекарства (без рецепта),221.19,3,0.0,663.57,Женский,31-45,Наличные,0
203,2025-01-02,7,Москва,53,БАД и витамины,396.5,2,0.0,793.0,Женский,18-30,Онлайн,0
204,2025-01-02,10,Санкт-Петербург,41,Косметика и гигиена,318.23,3,0.0,954.69,Мужской,18-30,Онлайн,0
205,2025-01-02,21,Екатеринбург,65,БАД и витамины,469.32,3,0.0,1407.96,Женский,18-30,Онлайн,0
206,2025-01-02,22,Екатеринбург,7,Лекарства (рецепт),538.36,2,0.0,1076.72,Мужской,60+,Карта,0
207,2025-01-02,13,Санкт-Петербург,21,Лекарства (без рецепта),318.02,2,0.0,636.04,Женский,31-45,Карта,0
208,2025-01-02,18,Новосибирск,41,Косметика и гигиена,318.23,2,0.0,636.46,Мужской,60+,Карта,0
209,2025-01-02,13,Санкт-Петербург,43,Косметика и гигиена,308.93,2,0.0,617.86,Женский,31-45,Онлайн,0
210,2025-01-02,2,Москва,1,Лекарства (рецепт),310.8,1,0.0,310.8,Женский,60+,Онлайн,0
211,2025-01-02,16,Казань,30,Лекарства (без рецепта),347.78,8,0.0,2782.24,Женский,46-60,Карта,0
212,2025-01-02,12,Санкт-Петербург,31,Лекарства (без рецепта),256.56,8,0.0,2052.48,Мужской,18-30,Карта,0
213,2025-01-02,15,Казань,40,Косметика и гигиена,389.97,4,0.0,1559.88,Мужской,46-60,Карта,0
214,2025-01-02,20,Екатеринбург,53,БАД и витамины,396.5,3,0.0,1189.5,Женский,46-60,Карта,0
215,2025-01-02,14,Казань,1,Лекарства (рецепт),310.8,3,0.0,932.4,Женский,46-60,Онлайн,0
216,2025-01-02,12,Санкт-Петербург,45,Косметика и гигиена,408.22,3,0.0,1224.66,Мужской,46-60,Наличные,0
217,2025-01-02,16,Казань,3,Лекарства (рецепт),283.27,2,0.0,566.54,Женский,31-45,Карта,0
218,2025-01-02,13,Санкт-Петербург,24,Лекарства (без рецепта),295.65,3,0.0,886.95,Женский,46-60,Карта,0
219,2025-01-02,19,Новосибирск,36,Косметика и гигиена,269.55,3,0.0,808.65,Женский,60+,Карта,0
220,2025-01-02,9,Санкт-Петербург,22,Лекарства (без рецепта),296.25,4,0.0,1185.0,Женский,18-30,Карта,0
221,2025-01-02,6,Москва,18,Лекарства (без рецепта),359.03,3,0.0,1077.09,Мужской,60+,Наличные,0
222,2025-01-02,4,Москва,8,Лекарства (рецепт),329.77,5,0.0,1648.85,Мужской,18-30,Карта,0
223,2025-01-02,1,Москва,51,БАД и витамины,473.69,1,0.0,473.69,Мужской,31-45,Карта,0
224,2025-01-02,20,Екатеринбург,62,БАД и витамины,628.56,2,0.0,1257.12,Женский,60+,Карта,0
225,2025-01-03,8,Москва,31,Лекарства (без рецепта),256.56,2,0.0,513.12,Женский,60+,Карта,0
226,2025-01-03,10,Санкт-Петербург,60,БАД и витамины,386.95,2,0.0,773.9,Мужской,18-30,Карта,0
227,2025-01-03,4,Москва,38,Косметика и гигиена,312.62,5,0.0,1563.1,Женский,31-45,Наличные,0
228,2025-01-03,10,Санкт-Петербург,49,Косметика и гигиена,384.98,5,0.0,1924.9,Женский,31-45,Онлайн,0
229,2025-01-03,17,Новосибирск,39,Косметика и гигиена,404.74,3,0.0,1214.22,Женский,31-45,Онлайн,0
230,2025-01-03,21,Екатеринбург,34,Лекарства (без рецепта),247.64,2,0.0,495.28,Женский,18-30,Карта,0
231,2025-01-03,2,Москва,18,Лекарства (без рецепта),359.03,2,0.0,718.06,Женский,31-45,Наличные,0
232,2025-01-03,6,Москва,51,БАД и витамины,473.69,3,0.0,1421.07,Мужской,60+,Онлайн,0
